source,code,site,site_type,latitude,longitude,variable,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,O3,Ozone,2003-08-01T00:00:00Z,2021-09-20,2021-09-20T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,NO,Nitric oxide,1999-09-18T00:00:00Z,2021-09-20,2021-09-20T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,NO2,Nitrogen dioxide,1999-09-18T00:00:00Z,2021-09-20,2021-09-20T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,NOx,Nitrogen oxides as nitrogen dioxide,1999-09-18T00:00:00Z,2021-09-20,2021-09-20T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,SO2,Sulphur dioxide,2001-01-01T00:00:00Z,2007-09-30,2007-09-30T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,CO,Carbon monoxide,1999-09-18T00:00:00Z,2007-09-30,2007-09-30T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,PM10,PM10 particulate matter (Hourly measured),1999-09-18T00:00:00Z,2021-09-20,2021-09-20T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,NV10,Non-volatile PM10 (Hourly measured),2009-02-20T00:00:00Z,2019-11-07,2019-11-07T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,V10,Volatile PM10 (Hourly measured),2009-02-20T00:00:00Z,2019-11-07,2019-11-07T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,PM2.5,PM2.5 particulate matter (Hourly measured),2009-02-20T00:00:00Z,2021-09-20,2021-09-20T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,NV2.5,Non-volatile PM2.5 (Hourly measured),2009-02-20T00:00:00Z,2019-11-07,2019-11-07T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,V2.5,Volatile PM2.5 (Hourly measured),2009-02-20T00:00:00Z,2019-11-07,2019-11-07T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,wd,Modelled Wind Direction,2010-08-01T00:00:00Z,2021-09-20,NA,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,ws,Modelled Wind Speed,2010-08-01T00:00:00Z,2021-09-20,NA,North East Scotland,NA,Aberdeen City
aurn,ABD,Aberdeen,Urban Background,57.15736,-2.094278,temp,Modelled Temperature,2010-08-01T00:00:00Z,2021-09-20,NA,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,O3,Ozone,2021-10-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,NO,Nitric oxide,2021-10-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,NO2,Nitrogen dioxide,2021-10-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,NOx,Nitrogen oxides as nitrogen dioxide,2021-10-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,PM10,PM10 particulate matter (Hourly measured),2021-10-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,PM2.5,PM2.5 particulate matter (Hourly measured),2021-10-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,wd,Modelled Wind Direction,2021-10-01T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,ws,Modelled Wind Speed,2021-10-01T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,temp,Modelled Temperature,2021-10-01T00:00:00Z,ongoing,NA,North East Scotland,NA,Aberdeen City
aurn,ABD7,Aberdeen Union Street Roadside,Urban Traffic,57.144555,-2.106472,NO,Nitric oxide,2008-01-01T00:00:00Z,ongoing,2024-03-31T00:00:00Z,North East Scotland,NA,Aberdeen City
